trial,status,valid_loss,best_epoch,stopped_epoch,final_lr,latent_dim,koopman_dim,lrelu_alpha,dropout_rate,regularize_coef,low_rank,learning_rate,error
77,ok,0.7530612349510193,824,1000,1e-06,256,16,0.0008208940148408197,0.27909079419652316,0.06013151370468108,0.9687512103264965,0.0009352748407385457,
78,ok,2.627774477005005,947,1000,0.000197878246517683,256,128,0.0003774094281059104,0.4797661470377707,0.00033902042383900257,0.9340047514782605,0.000197878246517683,
79,ok,3.822657823562622,815,1000,1.2955266872126032e-06,128,128,0.0310737328259316,0.14736416191549284,3.3036678693660496e-06,0.9829343592094576,0.00012955266872126031,
80,ok,1.8810961246490479,409,709,1.1241319881447187e-06,256,16,0.1702379808189096,0.1505794843480293,4.861198479543427e-06,0.9608551368222125,0.00011241319881447187,
81,ok,0.9577953815460205,609,909,1e-06,256,16,0.0005848389831673597,0.38099750654885584,0.03635289653040166,0.9279808296303701,0.002738576083876068,
82,ok,5.7088494300842285,999,1000,9.583454897476778e-05,32,32,0.0007030148073878998,0.2630509543812342,1.750986308683496e-06,0.9581034567261151,9.583454897476778e-05,
83,ok,6.345035076141357,259,559,1e-06,32,32,0.01659965699188974,0.09801544470865248,0.16896164318266474,0.908517397742283,1.4946077666757705e-05,
84,ok,6.022636413574219,969,1000,1e-06,128,64,0.06871964802846328,0.44534945830694617,5.118102068353408e-06,0.9761238553973967,1.4746010456819115e-05,
85,ok,1.534173846244812,994,1000,0.00037322120968388107,128,64,0.011754574834127802,0.2656879019189864,0.0027790145364908034,0.9410393697833264,0.00037322120968388107,
86,ok,2.0668158531188965,987,1000,8.80730008580816e-05,256,64,0.0119048427201041,0.07853498355782856,0.0001701476445676897,0.9696334899055938,8.80730008580816e-05,
87,ok,0.8483762145042419,976,1000,0.00010672627840407092,512,128,0.016067228770697516,0.17702893030684985,0.0,0.9472192910631024,0.00010672627840407092,
88,ok,0.4325326979160309,755,1000,1e-06,256,128,0.014205332391187054,0.030111053749850958,8.117850724188977e-05,0.9299884967309748,0.000701414537303766,
89,ok,5.34510612487793,836,1000,2.018444849396541e-06,32,16,0.003601894085229908,0.44427252185673827,0.0,0.9010099983903607,0.0002018444849396541,
90,ok,1.0875989198684692,984,1000,0.00034513350966056805,32,16,0.01615898540647177,0.003211726849072838,0.02829587577005981,0.9041136684395641,0.00034513350966056805,
91,ok,2.1745026111602783,971,1000,0.00013857744242113843,128,64,0.030276114690489686,0.14396205243171878,2.2915119986592056e-05,0.910535480675537,0.00013857744242113843,
